,user_id,firstname,lastname,gender,nationality,mobile,dob,is_traveller,address
0,0,Lucia,Lopez,Female,Spain,842643465,1963.9.25,True,0
1,1,Marcos,Gonzalez,Male,Spain,237664355,1996.12.12,True,1
2,2,Ana,Ruiz,Female,Spain,278561871,1976.7.13,True,2
3,3,Jorge,Moreno,Male,Spain,934915036,1981.3.4,True,3
4,4,Carmen,Castro,Female,Spain,175909598,1968.3.16,True,4
5,5,Miguel,Garcia,Male,Spain,186233019,1993.6.26,True,5
6,6,Claudia,Torres,Female,Spain,701012046,1966.8.14,True,6
7,7,Pablo,Fernandez,Male,Spain,553069605,2003.9.18,True,7
8,8,Lucia,Ortiz,Female,Spain,783633534,1997.8.20,True,8
9,9,Antonio,Herrera,Male,Spain,954565432,1967.12.9,True,9
10,10,Sara,Gomez,Female,Spain,782961681,1986.9.13,True,10
11,11,Carlos,Flores,Male,Spain,283973639,2003.6.8,True,11
12,12,Lucia,Ramirez,Female,Spain,150982075,1975.7.2,True,12
13,13,Mario,Castro,Male,Spain,123710116,1999.7.28,True,13
14,14,Beatriz,Martinez,Female,Spain,435122193,1972.4.5,True,14
15,15,Diego,Alonso,Male,Spain,119805303,1981.5.23,True,15
16,16,Isabel,Navarro,Female,Spain,910032995,1990.3.27,True,16
17,17,Manuel,Carrasco,Male,Spain,380190083,1964.4.18,True,17
18,18,Elena,Ferrer,Female,Spain,750382894,1996.1.15,True,18
19,19,Pedro,Pascual,Male,Spain,145730193,1964.6.14,True,19
20,20,Julia,Ramos,Female,Spain,725826520,1967.6.21,False,20
21,21,Javier,Iglesias,Male,Spain,815270054,2005.9.11,False,21
22,22,Paula,Reyes,Female,Spain,316137906,1992.6.27,False,22
23,23,Victor,Vargas,Male,Spain,325598357,1974.9.5,False,23
24,24,Blanca,Aguilar,Female,Spain,350626510,1967.9.20,False,24
25,25,Luisa,Guerrero,Female,Spain,801134334,1988.1.6,False,25
26,26,Oscar,Santos,Male,Spain,622661920,2005.5.8,False,26
27,27,Alba,Hidalgo,Female,Spain,689410316,1978.10.9,False,27
28,28,Francisco,Molina,Male,Spain,256479094,1968.1.26,False,28
29,29,Ines,Vega,Female,Spain,642386577,2004.10.15,False,29
30,30,Sergio,Delgado,Male,Spain,563367824,1977.2.14,False,30
31,31,Marina,Munoz,Female,Spain,327977196,1990.3.8,False,31
32,32,Emilio,Rubio,Male,Spain,642496220,1988.9.24,False,32
33,33,Miriam,Gomez,Female,Spain,349021817,1967.3.18,False,33
34,34,Daniel,Fernandez,Male,Spain,794439953,1995.8.23,False,34
35,35,Maria,Moreno,Female,Spain,914648855,1981.5.7,False,35
36,36,Hector,Herrera,Male,Spain,351715655,1968.4.22,False,36
37,37,Clara,Jimenez,Female,Spain,932232900,1975.12.20,False,37
38,38,Andres,Ruiz,Male,Spain,522231511,1966.5.25,False,38
39,39,Marta,Castro,Female,Spain,717017074,1971.11.4,False,39
